File,FnId,Type
"../test-repos/AFASSoftware_maquette/src/h.ts","h","VNode"
"../test-repos/AFASSoftware_maquette/src/h.ts","h","VNode"
"../test-repos/AFASSoftware_maquette/src/h.ts","h","VNode"
"../test-repos/DanielYKPan_date-time-picker/src/date-time/adapter/native-date-time-adapter.class.ts","range","T[]"
"../test-repos/DanielYKPan_date-time-picker/src/date-time/date-time-picker.component.ts","OWL_DTPICKER_SCROLL_STRATEGY_PROVIDER_FACTORY","() => any"
"../test-repos/DanielYKPan_date-time-picker/src/utils/object.utils.ts","extendObject","any"
"../test-repos/DanielYKPan_date-time-picker/src/dialog/dialog.service.ts","OWL_DIALOG_SCROLL_STRATEGY_PROVIDER_FACTORY","() => any"
"../test-repos/DanielYKPan_date-time-picker/src/dialog/dialog.service.ts","applyConfigDefaults","OwlDialogConfig"
"../test-repos/DavideViolante_Angular-Full-Stack/server/routes.ts","setRoutes","void"
"../test-repos/DavideViolante_Angular-Full-Stack/client/app/app.module.ts","tokenGetter","string"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","createResponse","WebdriverResponse<T>"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","isWebdriverResponse","boolean"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","withCallback","Promise<T>"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","htmlCollectionToArray","Element[]"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","isInput","boolean"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","isInputlike","boolean"
"../test-repos/ForbesLindesay_taxi-rank/src/Webdriver.ts","isForm","boolean"
"../test-repos/ForbesLindesay_taxi-rank/src/WebdriverUrlMap.ts","register","void"
"../test-repos/ForbesLindesay_taxi-rank/src/eventChannel.ts","eventChannel","Subscribe<T> & Emitter<T>"
"../test-repos/ForbesLindesay_taxi-rank/src/eventChannel.ts","on","() => void"
"../test-repos/ForbesLindesay_taxi-rank/src/index.ts","startServer","any"
"../test-repos/ForbesLindesay_taxi-rank/src/index.ts","isStorageLevel","boolean"
"../test-repos/HsuanXyz_ion2-calendar/dev/src/ion2-calendar/calendar.module.ts","calendarController","CalendarController"
"../test-repos/HsuanXyz_ion2-calendar/src/calendar.module.ts","calendarController","CalendarController"
"../test-repos/Loopring_protocol/util/submit_rings.ts","erc20Approve","Promise<void>"
"../test-repos/Loopring_protocol/util/submit_rings.ts","size2Ring01","Promise<Ring>"
"../test-repos/Loopring_protocol/util/submit_rings.ts","size3Ring01","Promise<Ring>"
"../test-repos/Loopring_protocol/util/submit_rings.ts","submit","Promise<void>"
"../test-repos/Loopring_protocol/util/submit_rings.ts","approve","Promise<void>"
"../test-repos/Loopring_protocol/util/submit_rings.ts","main","Promise<void>"
"../test-repos/Microsoft_satcheljs/test/legacy/createUndoTests.ts","resetState","void"
"../test-repos/Microsoft_satcheljs/test/legacy/stitch/stitchTests.ts","getNext","DispatchFunction"
"../test-repos/Microsoft_satcheljs/test/legacy/stitch/stitchTests.ts","getArguments","IArguments"
"../test-repos/Microsoft_satcheljs/test/legacy/promise/actionWrappersTests.ts","fulfillPromise","any"
"../test-repos/Microsoft_satcheljs/test/legacy/promise/actionWrappersTests.ts","rejectPromiseInThen","any"
"../test-repos/Microsoft_satcheljs/test/legacy/promise/actionWrappersTests.ts","rejectPromiseInCatch","any"
"../test-repos/Microsoft_satcheljs/test/legacy/promise/installTests.ts","setupPromise","void"
"../test-repos/Microsoft_satcheljs/test/legacy/promise/installTests.ts","resetPromise","void"
"../test-repos/Microsoft_satcheljs/src/applyMiddleware.ts","applyMiddleware","void"
"../test-repos/Microsoft_satcheljs/src/applyMiddleware.ts","applyNextMiddleware","DispatchFunction"
"../test-repos/Microsoft_satcheljs/src/createStore.ts","createStore","() => T"
"../test-repos/Microsoft_satcheljs/src/orchestrator.ts","orchestrator","OrchestratorFunction<T>"
