File,FnId,Type
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.addTypeName.ts","transformDocument","context","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.addTypeName.ts","transformDocument","operation","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.addTypeName.ts","transformDocument","funRet","OperationInstance"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.addTypeName.ts","fieldNames","selectionSet","{ selections: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.addTypeName.ts","fieldNames","funRet","string[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","queryWithTypename","gqlString","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","queryWithTypename","variables","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","queryWithTypename","rootId","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","queryWithTypename","funRet","{ document: any; rootId: string; variables?: JsonObject; fragmentName?: string; fromFragmentDocument?: boolean; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","obj","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","proto","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","obj","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","proto","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","obj","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","proto","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","obj","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","proto","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/inferTypes.entityTransformation.ts","mixinHelperMethods","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/inferTypes.selectionSetIsStatic.ts","selection","source","string"
