File,FnId,Type
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/opttyper.addTypeName.ts","transformDocument","context","Element"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/opttyper.addTypeName.ts","transformDocument","operation","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/opttyper.addTypeName.ts","transformDocument","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/opttyper.addTypeName.ts","fieldNames","selectionSet","Set<any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/context/CacheContext/opttyper.addTypeName.ts","fieldNames","funRet","string[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/opttyper.selectionSetIsStatic.ts","selection","source","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/opttyper.selectionSetIsStatic.ts","selection","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/opttyper.selectionSetIsStatic.ts","fragmentGetter","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.fragments.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.fragments.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.expandVariables.ts","makeFieldMap","query","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.expandVariables.ts","makeFieldMap","funRet","ParsedQueryWithVariables"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.directives.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.directives.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.static.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/opttyper.static.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","payload","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","cacheContext","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","gqlVariables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.serialization.ts","createGraphSnapshot","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","payload","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","gqlVariables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","cacheContext","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","createSnapshot","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","baseline","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","payload","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","gqlVariables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","cacheContext","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.write.ts","updateSnapshot","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.context.ts","createStrictCacheContext","funRet","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.graphql.ts","query","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.graphql.ts","query","variables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.graphql.ts","query","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/opttyper.graphql.ts","query","funRet","Object"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.ConsoleTracer.ts","_makeDefaultEmitter","level","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.ConsoleTracer.ts","_makeDefaultEmitter","funRet","(message: string, ...args: any[]) => void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","_makeEntityIdMapper","mapper","Map<any, any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","_makeEntityIdMapper","funRet","Function"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","defaultEntityIdMapper","node","Node"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","defaultEntityIdMapper","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","operationCacheKey","document","Document"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","operationCacheKey","fragmentName","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/opttyper.CacheContext.ts","operationCacheKey","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","variableDefaultsInOperation","operation","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","variableDefaultsInOperation","funRet","Object"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fragmentMapForDocument","document","Document"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fragmentMapForDocument","funRet","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","selectionSetIsStatic","selectionSet","Set<any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","selectionSetIsStatic","fragmentGetter","Function"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","selectionSetIsStatic","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldIsStatic","field","Function"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldIsStatic","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldHasAlias","field","Function"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldHasAlias","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldIsParameterized","field","Function"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldIsParameterized","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldHasStaticDirective","__0","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.ast.ts","fieldHasStaticDirective","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isScalar","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isScalar","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isObject","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isObject","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isObjectOrNull","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isObjectOrNull","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isNil","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isNil","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isNumber","element","Element"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.primitive.ts","isNumber","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","removeNodeReference","direction","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","removeNodeReference","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","removeNodeReference","id","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","removeNodeReference","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","removeNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","addNodeReference","direction","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","addNodeReference","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","addNodeReference","id","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","addNodeReference","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","addNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","hasNodeReference","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","hasNodeReference","type","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","hasNodeReference","id","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","hasNodeReference","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","hasNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","getIndexOfGivenReference","references","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","getIndexOfGivenReference","id","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","getIndexOfGivenReference","path","string"
